,anomaly
3512323,0
3512324,0
3512325,0
3512326,0
3512327,0
3512332,0
3512334,0
3512336,0
3512337,0
3512338,0
3512339,0
3512342,0
3512345,1
3512346,0
3512347,0
3512348,0
3512350,0
3512351,0
3512357,0
3512364,0
3512373,0
3512377,0
3512383,0
3512393,0
3512396,0
3512402,0
3512403,0
3512404,0
3512415,0
3512417,0
3512419,0
3512422,0
3512423,0
3512432,0
3512433,0
3512434,0
3512435,0
3512436,0
3512437,0
3512439,0
3512440,0
3512441,0
3512442,0
3512443,0
3512451,0
3512457,0
3512464,0
3512469,0
3512472,0
3512474,0
3512477,0
3512479,0
3512480,0
3512484,0
3512485,0
3512488,0
3512490,0
3512492,0
3512494,0
3512496,0
3512497,0
3512498,0
3512499,0
3512502,1
3512504,0
3512506,0
3512508,0
3512509,0
3512510,0
3512511,0
3512512,0
3512513,0
3512514,0
3512516,0
3512522,0
3512524,0
3512528,0
3512530,0
3512534,0
3512536,0
3512543,0
3512546,0
3512548,0
3512549,0
3512554,0
3512555,1
3512558,0
3512561,0
3512565,0
3512567,0
3512568,0
3512569,0
3512570,0
3512572,0
3512576,0
3512577,0
3512581,0
3512584,0
3512585,0
3512586,0
3512587,0
3512591,0
3512615,0
3512616,0
3512617,0
3512620,1
3512622,0
3512623,0
3512624,0
3512626,0
3512627,0
3512628,1
3512631,0
3512632,0
3512633,0
3512634,0
3512635,0
3512636,0
3512637,0
3512639,0
3512640,0
3512641,0
3512642,0
3512645,0
3512650,0
3512652,0
3512653,0
3512655,0
3512657,1
3512662,0
3512665,0
3512668,0
3512670,0
3512671,0
3512673,0
3512675,0
3512677,0
3512678,0
3512679,0
3512680,0
3512684,0
3512685,0
3512686,0
3512687,0
3512691,0
3512692,0
3512693,0
3512695,0
3512696,0
3512697,0
3512699,0
3512700,0
3512702,0
3512704,0
3512705,0
3512709,0
3512710,0
3512712,0
3512713,0
3512714,0
3512715,0
3512716,0
3512717,0
3512724,0
3512735,0
3512743,0
3512751,0
3512757,0
3512758,0
3512760,0
3512761,0
3512762,0
3512763,0
3512766,0
3512767,0
3512770,0
3512771,0
3512774,0
3512775,0
3512776,0
3512777,0
3512779,0
3512781,0
3512782,0
3512783,0
3512784,0
3512785,0
3512786,0
3512787,0
3512788,0
3512789,0
3512793,0
3512797,0
3512802,0
3512803,0
3512804,0
3512805,0
3512808,0
3512811,0
3512814,0
3512815,0
3512822,0
3512823,0
3512825,0
3512833,0
3512834,0
3512838,0
3512839,0
3512841,0
3512844,0
3512847,0
3512852,0
3512854,0
3512856,0
3512857,0
3512859,0
3512863,0
3512865,0
3512867,0
3512868,0
3512870,0
3512871,0
3512872,0
3512874,0
3512876,0
3512884,0
3512885,0
3512892,0
3512893,1
3512894,0
3512896,0
3512899,0
3512900,0
3512904,0
3512905,0
3512906,0
3512907,0
3512908,0
3512914,0
3512915,0
3512916,0
3512918,0
3512922,0
3512924,0
3512926,0
3512929,0
3512930,0
3512931,0
3512932,0
3512934,0
3512936,0
3512938,0
3512939,1
3512947,0
3512950,0
3512952,0
3512953,0
3512954,0
3512955,0
3512956,0
3512958,0
3512960,0
3512962,0
3512964,0
3512966,0
3512970,0
3512971,0
3512972,0
3512976,0
3512978,0
3512982,1
3512987,0
3512988,0
3512992,0
3512994,0
3512996,0
3513005,0
3513016,0
3513017,0
3513019,0
3513020,0
3513022,0
3513023,0
3513024,0
3513027,1
3513028,0
3513029,0
3513030,1
3513031,0
3513032,0
3513036,0
3513038,0
3513040,0
3513041,0
3513043,0
3513044,0
3513045,0
3513049,0
3513051,0
3513053,0
3513054,1
3513057,0
3513058,0
3513063,0
3513066,1
3513068,0
3513069,0
3513070,0
3513072,0
3513073,0
3513074,0
3513075,0
3513076,1
3513079,0
3513081,0
3513082,0
3513083,0
3513084,0
3513087,0
3513091,0
3513095,0
3513099,0
3513101,0
3513104,0
3513105,0
3513106,0
3513108,0
3513109,0
3513110,0
3513111,0
3513117,0
3513120,0
3513123,0
3513124,0
3513128,0
3513134,0
3513135,0
3513136,0
3513137,0
3513138,0
3513139,0
3513140,0
3513141,0
3513142,0
3513145,0
3513149,0
3513161,0
3513162,0
3513163,0
3513166,0
3513170,0
3513171,0
3513173,0
3513174,0
3513176,0
3513178,0
3513179,0
3513182,0
3513185,0
3513186,0
3513187,0
3513188,0
3513189,0
3513194,0
3513195,0
3513196,0
3513198,0
3513199,0
3513201,0
3513202,1
3513203,0
3513204,0
3513205,0
3513206,0
3513207,0
3513209,0
3513210,0
3513211,0
3513214,0
3513215,0
3513216,0
3513217,0
3513218,0
3513223,0
3513224,0
3513225,0
3513226,0
3513227,0
3513228,0
3513232,0
3513233,0
3513234,0
3513236,0
3513237,0
3513240,0
3513242,0
3513243,0
3513244,0
3513245,0
3513248,0
3513249,0
3513252,0
3513253,0
3513254,0
3513256,0
3513257,0
3513258,0
3513259,0
3513260,0
3513261,0
3513262,0
3513263,0
3513264,0
3513265,0
3513266,0
3513267,0
3513268,0
3513273,0
3513274,0
3513277,0
3513278,0
3513279,0
3513280,0
3513282,0
3513283,0
3513287,0
3513289,0
3513296,0
3513297,0
3513298,0
3513302,0
3513304,0
3513305,0
3513308,0
3513313,0
3513315,0
3513316,0
3513326,0
3513331,0
3513332,0
3513337,0
3513343,0
3513348,0
3513350,0
3513351,0
3513352,0
3513353,0
3513355,0
3513356,0
3513357,0
3513359,0
3513365,0
3513366,0
3513368,0
3513369,0
3513371,0
3513377,0
3513382,0
3513384,0
3513386,0
3513388,0
3513390,0
3513391,0
3513392,0
3513393,0
3513394,0
3513395,1
3513396,0
3513398,0
3513399,0
3513403,0
3513410,0
3513411,0
3513413,0
3513414,0
3513415,0
3513416,0
3513417,0
3513431,0
3513434,0
3513435,0
3513436,0
3513437,0
3513439,0
3513440,0
3513441,0
3513446,0
3513448,0
3513452,0
3513458,0
3513464,0
3513465,0
3513468,0
3513469,0
3513470,0
3513472,1
3513473,0
3513476,0
3513483,0
3513484,0
3513487,0
3513488,0
3513491,0
3513494,0
3513495,0
3513499,0
3513501,0
3513503,0
3513506,0
3513512,0
3513518,0
3513519,0
3513521,0
3513524,0
3513529,0
3513537,0
3513539,0
3513540,0
3513546,0
3513549,0
3513551,0
3513555,0
3513558,0
3513559,0
3513563,0
3513569,0
3513570,0
3513572,0
3513573,0
3513574,0
3513575,0
3513578,0
3513579,0
3513580,0
3513583,0
3513584,0
3513585,0
3513586,0
3513588,0
3513589,0
3513590,0
3513591,0
3513592,0
3513593,0
3513595,0
3513599,0
3513600,0
3513601,0
3513602,0
3513603,0
3513604,0
3513606,0
3513607,0
3513608,0
3513610,0
3513611,0
3513612,0
3513613,0
3513614,0
3513624,0
3513626,0
3513629,0
3513630,0
3513640,0
3513645,0
3513647,0
3513648,0
3513649,0
3513650,0
3513651,0
3513655,0
3513664,0
3513666,0
3513669,0
3513670,0
3513671,0
3513677,0
3513682,0
3513684,0
3513687,0
3513688,0
3513695,0
3513697,0
3513699,0
3513713,0
3513717,1
3513719,0
3513720,0
3513722,0
3513723,1
3513724,1
3513726,1
3513739,0
3513740,0
3513741,0
3513742,0
3513743,0
3513744,0
3513745,0
3513748,0
3513751,0
3513758,0
3513759,0
3513760,0
3513770,0
3513771,0
3513772,0
3513773,0
3513783,0
3513785,0
3513786,0
3513791,0
3513792,0
3513793,0
3513795,0
3513796,1
3513797,1
3513798,0
3513800,0
3513801,0
3513806,0
3513807,0
3513808,0
3513811,0
3513814,0
3513817,0
3513821,0
3513825,0
3513826,0
3513831,0
3513833,0
3513834,0
3513849,0
3513850,0
3513852,0
3513854,0
3513861,0
3513862,0
3513864,0
3513866,0
3513867,0
3513868,0
3513873,0
3513874,0
3513875,0
3513876,0
3513879,0
3513884,0
3513885,0
3513886,0
3513887,0
3513891,0
3513897,0
3513901,0
3513902,0
3513904,0
3513906,0
3513907,0
3513908,0
3513909,0
3513911,0
3513912,0
3513913,0
3513914,0
3513919,0
3513927,0
3513938,0
3513942,0
3513943,0
3513944,0
3513948,0
3513955,0
3513957,0
3513972,0
3513974,0
3513988,0
3514001,0
3514016,0
3514032,0
3514033,0
3514034,0
3514038,0
3514045,0
3514051,0
3514059,0
3514061,0
3514063,0
3514066,0
3514072,0
3514079,0
3514082,0
3514087,0
3514088,0
3514089,0
3514091,0
3514092,0
3514093,0
3514094,0
3514096,0
3514108,0
3514110,0
3514116,0
3514117,0
3514118,0
3514119,0
3514120,0
3514122,0
3514127,0
3514129,0
3514130,0
3514131,0
3514134,0
3514136,0
3514138,0
3514148,0
3514149,0
3514150,0
3514151,0
3514153,0
3514156,0
3514157,0
3514158,0
3514159,0
3514160,0
3514161,0
3514164,0
3514165,0
3514166,0
3514167,0
3514169,0
3514172,0
3514173,0
3514178,0
3514182,0
3514184,0
3514185,0
3514187,0
3514190,0
3514200,0
3514205,0
3514206,0
3514219,0
3514228,0
3514231,0
3514233,0
3514234,0
3514235,0
3514237,0
3514243,0
3514244,0
3514245,0
3514246,0
3514252,0
3514255,0
3514257,0
3514263,0
3514264,0
3514266,1
3514268,0
3514270,0
3514271,0
3514272,0
3514273,1
3514274,0
3514276,0
3514291,1
3514318,0
3514321,1
3514333,0
3514335,0
3514351,0
3514353,0
3514384,0
3514385,0
3514386,0
3514388,0
3514389,0
3514391,0
3514394,0
3514396,1
3514399,0
3514404,0
3514405,1
3514406,1
3514419,0
3514421,0
3514427,0
3514435,0
3514436,0
3514439,0
3514444,0
3514446,0
3514447,0
3514448,0
3514449,0
3514450,0
3514451,0
3514452,0
3514454,0
3514455,0
3514456,0
3514462,0
3514467,0
3514476,0
3514486,0
3514489,0
3514490,0
3514491,0
3514494,0
3514501,0
3514506,0
3514507,0
3514510,0
3514512,0
3514513,0
3514516,0
3514517,0
3514524,0
3514538,0
3514540,0
3514549,0
3514551,0
3514552,0
3514562,0
3514564,0
3514566,0
3514572,1
3514581,0
3514584,0
3514586,0
3514599,0
3514604,0
3514607,0
3514613,0
3514614,0
3514615,0
3514616,0
3514617,0
3514618,0
3514619,0
3514624,0
3514629,0
3514643,0
3514649,0
3514655,0
3514656,0
3514657,0
3514660,0
3514661,0
3514663,0
3514664,0
3514666,0
3514668,0
3514671,0
3514672,0
3514674,0
3514675,0
3514676,0
3514683,0
3514684,0
3514685,0
3514700,0
3514701,0
3514704,0
3514708,0
3514711,0
3514720,0
3514722,0
3514724,0
3514726,0
3514727,0
3514729,0
3514732,0
3514734,1
3514736,0
3514738,0
3514739,1
3514740,0
3514741,0
3514742,0
3514745,0
3514746,0
3514747,0
3514752,0
3514757,0
3514760,0
3514763,0
3514764,0
3514765,0
3514767,0
3514771,0
3514772,0
3514773,0
3514774,0
3514775,0
3514776,0
3514784,0
3514789,0
3514791,0
3514794,0
3514795,0
3514808,0
3514825,0
3514829,0
3514831,0
3514834,0
3514835,0
3514838,0
3514839,0
3514840,0
3514841,0
3514842,0
3514845,0
3514848,0
3514851,0
3514852,0
3514853,0
3514863,0
3514864,0
3514869,0
3514870,0
3514871,0
3514873,0
3514874,0
3514877,0
3514878,0
3514887,0
3514889,0
3514896,0
3514897,0
3514898,0
3514902,0
3514904,0
3514909,0
3514910,0
3514911,0
3514913,0
3514916,0
3514917,0
3514918,0
3514919,0
3514925,0
3514926,0
3514927,0
3514929,0
3514931,0
3514935,0
3514936,1
3514937,0
3514938,0
3514939,0
3514943,0
3514950,0
3514958,0
3514964,0
3514965,0
3514966,0
3514968,0
3514980,0
3514981,0
3514983,0
3514992,0
3514995,0
3514996,0
3514998,0
3515001,0
3515002,0
3515003,0
3515005,1
3515009,0
3515014,0
3515015,0
3515016,0
3515018,0
3515021,0
3515027,1
3515036,0
3515039,0
3515042,0
3515043,0
3515045,0
3515049,0
3515052,0
3515053,0
3515059,0
3515062,1
3515063,0
3515067,0
3515074,0
3515081,1
3515086,0
3515088,0
3515094,0
3515095,0
3515097,0
3515098,0
3515099,0
3515112,0
3515113,0
3515117,0
3515122,0
3515123,0
3515124,0
3515125,0
3515129,0
3515131,0
3515132,0
3515133,0
3515134,0
3515138,0
3515139,0
3515149,1
3515187,0
3515188,0
3515194,0
3515195,0
3515196,1
3515205,0
3515206,0
3515209,1
3515218,0
3515219,0
3515220,1
3515221,0
3515222,0
3515228,0
3515229,0
3515230,0
3515232,0
3515233,0
3515241,0
3515242,0
3515247,0
3515249,0
3515254,1
3515263,1
3515266,0
3515267,1
3515269,0
3515271,0
3515272,1
3515276,0
3515278,0
3515279,0
3515280,0
3515282,0
3515286,0
3515293,0
3515299,0
3515301,1
3515307,1
3515309,0
3515315,0
3515316,0
3515321,0
3515325,0
3515326,0
3515328,0
3515337,0
3515338,0
3515339,0
3515340,0
3515343,0
3515350,0
3515351,0
3515352,0
3515353,0
3515355,0
3515359,0
3515360,0
3515361,0
3515362,0
3515363,0
3515364,0
3515365,0
3515366,0
3515367,0
3515369,0
3515370,0
3515371,0
3515372,0
3515374,0
3515375,0
3515378,0
3515379,0
3515381,0
3515384,0
3515386,0
3515387,0
3515388,0
3515397,0
3515402,0
3515403,0
3515408,0
3515409,0
3515412,0
3515413,0
3515414,0
3515415,0
3515416,0
3515417,0
3515418,0
3515421,0
3515422,0
3515424,0
3515427,1
3515429,0
3515431,0
3515434,0
3515440,0
3515446,0
3515458,0
3515464,0
3515465,0
3515466,0
3515467,0
3515470,0
3515473,0
3515477,0
3515479,1
3515480,0
3515485,0
3515489,1
3515490,0
3515491,1
3515494,0
3515495,0
3515496,0
3515497,0
3515509,0
3515523,0
3515524,0
3515525,1
3515532,0
3515534,0
3515535,1
3515537,0
3515538,0
3515541,0
3515544,0
3515545,1
3515547,0
3515553,0
3515568,0
3515572,0
3515578,0
3515581,0
3515583,0
3515584,0
3515585,0
3515587,0
3515589,0
3515590,0
3515592,0
3515593,0
3515598,0
3515599,0
3515600,0
3515606,0
3515608,0
3515612,0
3515615,0
3515618,0
3515623,0
3515626,1
3515627,0
3515632,1
3515633,0
3515634,0
3515635,1
3515636,0
3515639,1
3515640,0
3515642,1
3515644,0
3515650,0
3515654,0
3515655,0
3515659,0
3515660,1
3515661,0
3515664,0
3515666,0
3515669,0
3515672,1
3515673,1
3515677,0
3515683,0
3515690,0
3515693,0
3515697,0
3515698,0
3515700,0
3515712,0
3515714,0
3515719,0
3515720,0
3515724,0
3515725,0
3515726,0
3515728,0
3515729,0
3515730,0
3515733,0
3515734,0
3515735,0
3515739,0
3515743,0
3515747,0
3515748,0
3515749,0
3515753,0
3515754,0
3515755,0
3515756,0
3515758,0
3515759,0
3515760,0
3515766,0
3515767,0
3515769,0
3515770,0
3515772,0
3515780,0
3515795,0
3515796,0
3515797,0
3515806,0
3515808,0
3515810,0
3515811,0
3515812,0
3515814,0
3515815,0
3515816,0
3515817,0
3515820,0
3515825,0
3515828,0
3515831,0
3515847,0
3515856,0
3515866,0
3515867,0
3515873,0
3515875,0
3515876,0
3515877,0
3515879,0
3515894,0
3515896,0
3515900,0
3515901,0
3515903,0
3515904,0
3515915,0
3515916,0
3515918,0
3515928,0
3515931,1
3515935,0
3515936,1
3515937,0
3515939,0
3515940,0
3515950,0
3515959,0
3515962,0
3515964,0
3515966,0
3515967,0
3515968,0
3515969,0
3515970,0
3515972,0
3515973,0
3515976,0
3515977,0
3515979,0
3515983,0
3515990,0
3515991,0
3515992,0
3515993,0
3515998,0
3515999,1
3516001,0
3516003,0
3516004,0
3516005,1
3516006,0
3516007,0
3516008,0
3516010,0
3516013,0
3516015,0
3516017,0
3516021,1
3516030,0
3516038,0
3516040,0
3516045,0
3516049,0
3516051,0
3516057,0
3516058,0
3516061,0
3516063,0
3516064,0
3516065,0
3516068,0
3516070,0
3516071,0
3516082,0
3516094,0
3516098,0
3516102,0
3516104,0
3516108,0
3516110,0
3516112,0
3516113,0
3516114,0
3516115,0
3516117,0
3516118,0
3516119,0
3516121,0
3516122,0
3516123,0
3516124,0
3516125,0
3516126,0
3516128,0
3516135,0
3516137,0
3516139,0
3516146,0
3516147,0
3516149,0
3516150,0
3516161,1
3516164,0
3516165,0
3516166,0
3516167,0
3516171,0
3516172,0
3516175,0
3516177,0
3516179,0
3516182,0
3516183,0
3516185,0
3516186,0
3516189,0
3516191,0
3516195,0
3516202,0
3516204,0
3516207,0
3516208,0
3516211,0
3516214,0
3516217,0
3516220,0
3516225,0
3516228,0
3516229,0
3516230,0
3516234,1
3516237,0
3516238,0
3516241,0
3516242,0
3516245,0
3516246,0
3516247,0
3516250,0
3516277,0
3516279,0
3516280,0
3516282,0
3516283,0
3516285,0
3516286,0
3516291,0
3516295,0
3516297,0
3516298,0
3516299,0
3516300,0
3516301,0
3516304,0
3516306,0
3516309,0
3516311,0
3516313,0
3516314,0
3516316,0
3516317,0
3516318,0
3516319,0
3516321,0
3516322,0
3516323,0
3516328,0
3516330,0
3516334,0
3516337,0
3516338,0
3516340,0
3516341,0
3516346,0
3516347,0
3516349,0
3516350,0
3516353,0
3516354,0
3516359,0
3516361,0
3516362,0
3516367,0
3516369,0
3516370,0
3516371,0
3516379,0
3516382,0
3516383,0
3516384,0
3516385,0
3516386,0
3516400,0
3516403,0
3516405,1
3516406,0
3516407,0
3516409,0
3516411,0
3516414,0
3516420,0
3516423,0
3516424,0
3516427,0
3516428,1
3516434,0
3516435,0
3516436,0
3516440,0
3516444,0
3516445,0
3516447,0
3516449,0
3516453,0
3516457,0
3516459,0
3516465,0
3516466,0
3516467,0
3516470,0
3516471,1
3516472,0
3516477,0
3516478,0
3516481,0
3516486,0
3516488,0
3516490,0
3516497,0
3516498,0
3516503,0
3516510,0
3516511,0
3516514,0
3516516,0
3516518,0
3516519,0
3516520,0
3516529,0
3516530,0
3516535,0
3516540,0
3516550,1
3516554,0
3516562,0
3516563,0
3516568,0
3516575,0
3516576,0
3516577,1
3516578,0
3516581,0
3516584,0
3516586,0
3516588,0
3516591,0
3516595,0
3516596,0
3516607,0
3516608,0
3516614,0
3516615,0
3516616,0
3516619,0
3516622,1
3516623,0
3516624,0
3516626,1
3516628,0
3516630,0
3516636,0
3516639,0
3516640,0
3516641,0
3516642,0
3516644,0
3516645,0
3516649,0
3516650,0
3516652,0
3516654,0
3516655,0
3516657,0
3516660,0
3516661,0
3516667,0
3516670,0
3516671,0
3516673,0
3516674,0
3516675,0
3516678,0
3516679,0
3516681,0
3516682,0
3516685,0
3516686,0
3516688,0
3516689,0
3516690,0
3516691,0
3516692,0
3516693,0
3516694,0
3516697,0
3516698,0
3516701,0
3516702,0
3516703,0
3516704,1
3516725,0
3516728,0
3516735,0
3516736,0
3516739,0
3516750,0
3516760,0
3516763,0
3516770,0
3516772,0
3516776,0
3516792,0
3516794,0
3516802,1
3516806,1
3516808,0
3516817,0
3516818,0
3516819,0
3516822,0
3516823,0
3516824,0
3516825,0
3516838,0
3516841,0
3516843,0
3516844,0
3516845,0
3516846,0
3516848,0
3516849,0
3516854,0
3516855,0
3516856,0
3516857,0
3516858,0
3516883,0
3516910,0
3516913,0
3516915,0
3516917,0
3516918,0
3516938,0
3516943,0
3516952,0
3516964,0
3516965,0
3516968,0
3516969,0
3516973,0
3516977,0
3516978,0
3516979,0
3516980,0
